series_name,network,season,title,imdb,engagement,date_aired,year,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
"Scooby Doo, Where Are You!",CBS,1,What a Night for a Knight,8.1,556,9/13/69,1969,21,TV Series,Black Knight,Male,Possessed Object,Suit,Object,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Urban,United States,2,FALSE,TRUE,Mr. Wickles,Male,1,Theft,,,FALSE,2,1,1,0,0,0,1,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,A Clue for Scooby Doo,8.1,479,9/20/69,1969,22,TV Series,Ghost of Cptn. Cuttler,Male,Ghost,Suit,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Coast,United States,2,TRUE,TRUE,Cptn. Cuttler,Male,1,Theft,,,FALSE,1,0,0,0,0,0,0,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,Hassle in the Castle,8,455,9/27/69,1969,21,TV Series,Phantom,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,0,TRUE,TRUE,Bluestone the Great,Male,1,Treasure,,,FALSE,3,0,0,0,0,0,0,0,1,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,Mine Your Own Business,7.8,426,10/4/69,1969,21,TV Series,Miner 49'er,Male,Ancient,Miner,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cave,California,2,FALSE,TRUE,Hank,Male,1,Natural Resource,,,FALSE,2,1,0,0,0,0,0,0,2,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,Decoy for a Dognapper,7.5,391,10/11/69,1969,21,TV Series,Indian Witch Doctor,Female,Ancient,Witch Doctor,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Desert,United States,1,FALSE,TRUE,Buck Master,Male,1,Competition,,,FALSE,2,0,1,0,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,What the Hex Going On?,8.4,384,10/18/69,1969,21,TV Series,Ghost of Elias Kingston,Male,Ghost,Phantom,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,2,FALSE,TRUE,Uncle Stuart,Male,1,Extortion,,,FALSE,4,0,0,0,1,0,0,0,2,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,Never Ape an Ape Man,7.6,358,10/25/69,1969,21,TV Series,Ape Man,Male,Animal,Half-Human,Ape,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert,United States,1,FALSE,TRUE,Carl,Male,1,Competition,,,FALSE,4,1,0,1,0,0,0,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,Foul Play in Funland,8.2,358,11/1/69,1969,21,TV Series,Charlie the Robot,Male,Mechanical,Humanoid,Robot,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,FALSE,Sarah Jenkins,Female,1,Safety,,,TRUE,0,0,0,1,0,0,1,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,The Backstage Rage,8.1,371,11/8/69,1969,21,TV Series,Puppet Master,Male,Ghost,Pupeteer,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Urban,United States,1,FALSE,TRUE,Mr. Pietro,Male,1,Counterfeit,,,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
"Scooby Doo, Where Are You!",CBS,1,Bedlam in the Big Top,8,346,11/15/69,1969,21,TV Series,Ghost Clown,Male,Ghost,Clown,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,TRUE,TRUE,Harry the Hypnotist,Male,1,Competition,,,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
